,type,count,country,abbreviation
88,Care Nursing Home,2,KEN,
89,Med Centre,2,KEN,
90,Medical Health Centre,2,KEN,
91,Med,2,KEN,
92,Eye Centre,2,KEN,
94,Medical Clinic Lab,2,KEN,
95,Medical Diagnostic Centre,2,KEN,
96,Refferal Hospital,2,KEN,
97,County Medical Centre,2,KEN,
101,Medical Clinic Centre,2,KEN,
104,Laboratory Services,2,KEN,
108,Medical Care Centre,1,KEN,
109,Health Services Centre,1,KEN,
110,Medical Eye Care Centre,1,KEN,
111,Clinic Eye Centre,1,KEN,
112,Diagnostic Laboratory Services,1,KEN,
114,Dental Services,1,KEN,
115,Health Services Laboratory,1,KEN,
116,Medical Lab,1,KEN,
117,Health Laboratory,1,KEN,
119,Health Care Center,1,KEN,
121,Medical Clinic Laboratory Services,1,KEN,
124,Community Medical Lab Services Clinic,1,KEN,
126,Dental Health,1,KEN,
128,Maternity Lab Services,1,KEN,
130,Nursing Home,1,KEN,
133,Med Care Centre,1,KEN,
139,Eye Hospital,1,KEN,
140,Community Health Dispensary,1,KEN,
143,Diagnostic Medical Centre,1,KEN,
147,Diagnostic Laboratory,1,KEN,
154,Community Health Care Services,1,KEN,
156,Maternity Health Services,1,KEN,
157,Diagnostic Centre,1,KEN,
158,Maternity Services,1,KEN,
166,Medical Diagnostic Center,1,KEN,
169,Medical Services Centre,1,KEN,
170,Community Services Clinic,1,KEN,
171,Medical Eye Clinic,1,KEN,
172,Community Nursing,1,KEN,
177,Beyond Zero Clinic,1,KEN,
183,Nursing Hospital,1,KEN,
184,Community Medical Center,1,KEN,
193,Diagnostic Laboratory Medical Clinic,1,KEN,
195,Dental Care,1,KEN,
196,Community Nursing Home,1,KEN,
0,Dispensary,3840,KEN,
1,Health Centre,919,KEN,
3,Hospital,129,KEN,
4,Clinic,111,KEN,
5,Sub District Hospital,85,KEN,
6,District Hospital,80,KEN,
7,Sub County Hospital,77,KEN,
8,Medical Clinic,66,KEN,
9,Community Dispensary,44,KEN,
10,Medical Centre,30,KEN,
11,Disp,26,KEN,
12,Model Health Centre,23,KEN,
14,Nursing Home,16,KEN,
15,Health Center,16,KEN,
16,Vct,14,KEN,
18,County Referral Hospital,12,KEN,
19,Health,10,KEN,
20,County Hospital,10,KEN,
21,Community Clinic,9,KEN,
22,Community Health Centre,7,KEN,
23,Beyond Zero Mobile Clinic,7,KEN,
24,Sub County Referral Hospital,6,KEN,
25,Health Clinic,6,KEN,
26,Health Dispensary,5,KEN,
27,Health Care,5,KEN,
30,Medical Services,4,KEN,
32,Maternity Hospital,4,KEN,
33,Health Services,3,KEN,
34,Mobile Clinic,3,KEN,
36,Medical Center,3,KEN,
37,Beyond Zero Clinic,3,KEN,
38,Vct Centre,3,KEN,
41,Maternity,2,KEN,
42,Refferal Hospital,2,KEN,
44,Community Services Dispensary,2,KEN,
47,Maternity Nursing Home,2,KEN,
48,County Refferal Hospital,2,KEN,
50,Nursing Maternity Home,2,KEN,
53,Community Hospital,1,KEN,
54,Community Health Clinic,1,KEN,
55,Eye Hospital,1,KEN,
56,Community Medical Lab Services Clinic,1,KEN,
61,Sub County Refferal Hospital,1,KEN,
64,Health Care Clinic,1,KEN,
69,Maternity Health Centre,1,KEN,
70,Community Health Dispensary,1,KEN,
73,Medical Dental Clinic,1,KEN,
74,Clinic Eye Centre,1,KEN,
76,Community Nursing Home,1,KEN,
77,Referral Hospital,1,KEN,
79,Community Medical Clinic,1,KEN,
80,Community Centre,1,KEN,
81,Community Services Clinic,1,KEN,
82,Model Health Centre,1,KEN,
87,Hospital Medical Center,1,KEN,
90,Laboratory,1,KEN,Lab
91,Dental Clinic,1,KEN,
0,Dispensary,1175,KEN,Disp
1,Medical Clinic,337,KEN,
2,Health Centre,295,KEN,
3,Clinic,149,KEN,
5,Hospital,115,KEN,
6,Medical Centre,90,KEN,
7,Sub District Hospital,87,KEN,
8,Sub County Hospital,80,KEN,
9,District Hospital,77,KEN,
10,Nursing Home,43,KEN,
11,Maternity Nursing Home,34,KEN,
12,County Referral Hospital,16,KEN,
14,Community Dispensary,14,KEN,
16,Medical Services,13,KEN,
17,Health Services,11,KEN,
20,County Hospital,9,KEN,
21,Maternity Home,9,KEN,
22,Health Clinic,8,KEN,
23,Sub County Referral Hospital,8,KEN,
24,Medical,7,KEN,Med
25,Medical Center,7,KEN,
26,Nursing Maternity Home,7,KEN,
27,Model Health Centre,7,KEN,
28,Community Health Centre,6,KEN,
29,Beyond Zero Mobile Clinic,6,KEN,
30,Community Clinic,5,KEN,
32,Health Center,5,KEN,
33,Maternity Hospital,5,KEN,
34,Health Care Clinic,4,KEN,
35,Health Care Centre,4,KEN,
36,Community Hospital,4,KEN,
37,Medical Care,4,KEN,
38,County Refferal Hospital,4,KEN,
42,Medical Clinic Laboratory,3,KEN,
43,Community Health Clinic,3,KEN,
44,Beyond Zero Mobile Clinic,3,KEN,
45,Health Care Services,3,KEN,
49,Diagnostic Centre,2,KEN,
50,Vct,2,KEN,
53,Medical Diagnostic Centre,2,KEN,
55,Refferal Hospital,2,KEN,
57,Health Care Dental Hospital,1,KEN,
65,Health Maternity Services,1,KEN,
66,Care Health Centre,1,KEN,
67,Eye Hospital,1,KEN,
68,Care Medical Clinic,1,KEN,
69,Community Medical Services,1,KEN,
75,Community Nursing Services,1,KEN,
76,Community Medical Centre,1,KEN,
81,Medical Laboratory Centre,1,KEN,
89,Maternity Nursing,1,KEN,
90,Hospital Maternity Home,1,KEN,
91,Medical Clinic Nursing Home,1,KEN,
92,Medical Lab Services,1,KEN,
101,Referral Hospital,1,KEN,
108,Model Health Center,1,KEN,
0,Dispensary,4279,KEN,
1,Health Centre,1003,KEN,
2,Clinic,209,KEN,
3,Sub District Hospital,132,KEN,
4,District Hospital,118,KEN,
5,Hospital,118,KEN,
6,Community Dispensary,50,KEN,
7,Medical Clinic,32,KEN,
8,Medical Centre,30,KEN,
9,Model Health Centre,25,KEN,
10,Sub County Hospital,23,KEN,
12,Community Clinic,14,KEN,
13,Health Clinic,12,KEN,
14,Community Health Centre,9,KEN,
15,Medical Dispensary,6,KEN,
16,Health Care Clinic,5,KEN,
17,Health Dispensary,5,KEN,
18,Hospital Clinic,4,KEN,
19,Community Health Clinic,4,KEN,
20,Health Services Clinic,3,KEN,
21,Community Health Dispensary,3,KEN,
23,Community Services Dispensary,2,KEN,
28,Community Hospital,2,KEN,
31,County Referral Hospital,2,KEN,
32,County Hospital,2,KEN,
35,Sub County Referral Hospital,1,KEN,
36,Referral Hospital,1,KEN,
42,Medical Services Clinic,1,KEN,
44,Medical Hospital,1,KEN,
45,Health Care Centre,1,KEN,
46,Medical Care Centre,1,KEN,
51,Medical Centre Clinic,1,KEN,
52,Medical Services,1,KEN,
0,Dispensary,4729,KEN,Disp
1,Medical Clinic,1672,KEN,Med Clinic
2,Health Centre,1183,KEN,
3,Clinic,798,KEN,
5,Medical Centre,559,KEN,
6,Hospital,431,KEN,
7,Nursing Home,187,KEN,
8,Sub County Hospital,151,KEN,
11,Medical Services,95,KEN,
12,Health Services,74,KEN,
14,Vct,63,KEN,
15,Sub District Hospital,61,KEN,
16,District Hospital,57,KEN,
18,Medical Center,55,KEN,
19,Community Dispensary,52,KEN,
21,Maternity Nursing Home,44,KEN,
22,Dental Clinic,33,KEN,
23,Community Clinic,30,KEN,
25,Health Center,26,KEN,
26,Health Care Clinic,26,KEN,
27,Model Health Centre,26,KEN,
29,County Referral Hospital,23,KEN,
31,Community Hospital,19,KEN,
34,Health Care Services,16,KEN,
36,Laboratory,16,KEN,Lab
37,Medical Laboratory,16,KEN,Med Lab
38,Community Medical Clinic,15,KEN,
39,Health Care Centre,15,KEN,
41,Eye Clinic,14,KEN,
42,Community Health Centre,14,KEN,
43,Vct Centre,13,KEN,
44,Community Medical Centre,13,KEN,
46,Maternity,13,KEN,
49,Nursing Maternity Home,12,KEN,
50,Diagnostic Centre,11,KEN,
51,Sub County Referral Hospital,11,KEN,
52,Dental Centre,11,KEN,
53,Beyond Zero Mobile Clinic,10,KEN,
54,County Hospital,10,KEN,
55,Maternity Home,10,KEN,
56,Medical Diagnostic Centre,9,KEN,
57,Mobile Clinic,9,KEN,
59,Maternity Hospital,8,KEN,
61,Community Health Clinic,7,KEN,
65,Health Services Clinic,6,KEN,
69,Community Nursing Home,6,KEN,
72,Community Health Care,6,KEN,
74,Dental,5,KEN,
76,Laboratory Services,5,KEN,
77,Eye Care,5,KEN,
83,Clinic Laboratory,5,KEN,
84,Referral Hospital,5,KEN,
86,County Refferal Hospital,4,KEN,
87,Medical Dental Clinic,4,KEN,
88,Beyond Zero Clinic,4,KEN,
91,Medical Eye Clinic,4,KEN,
92,Community Centre,4,KEN,
97,Dental Services,3,KEN,
99,Diagnostic Center,3,KEN,
103,Medical Laboratory Centre,2,KEN,
109,Eye Hospital,2,KEN,
111,Medical Health Centre,2,KEN,
112,Community Services Dispensary,2,KEN,
119,Nursing Home Maternity,2,KEN,
124,Community Vct,2,KEN,
129,Beyond Zero Medical Clinic,2,KEN,
133,Medical Eye Care Centre,2,KEN,
135,Refferal Hospital,2,KEN,
136,Diagnostic Medical Centre,2,KEN,
137,Community Medical Services,2,KEN,
140,Eye Care Centre,2,KEN,
150,Nursing Services,1,KEN,
156,Medical Diagnostic Center,1,KEN,
161,Clinic Health Centre,1,KEN,
167,Maternity Health Services,1,KEN,
196,Dental Care Clinic,1,KEN,
208,Model Health Center,1,KEN,
209,Eye Care Services,1,KEN,
210,Diagnostic Laboratory,1,KEN,
216,Health Services Laboratory,1,KEN,
221,Eye Medical Clinic,1,KEN,
224,Community Health Center,1,KEN,
242,Diagnostic Services,1,KEN,
246,Eye Services,1,KEN,
250,Dental Care,1,KEN,
253,Eye Centre,1,KEN,
264,Medical Laboratory Services,1,KEN,
276,Nursing Home,1,KEN,
292,Vct Center,1,KEN,
293,Eye Center,1,KEN,
294,Eye Health Services,1,KEN,
