,words,frequency,country
6,Maternity,4347,Nigeria
7,Dispensary,3886,Nigeria
9,Care,2607,Nigeria
10,Medical,1597,Nigeria
11,Basic,1256,Nigeria
12,Home,1131,Nigeria
14,Child,657,Nigeria
15,General,639,Nigeria
16,Specialist,634,Nigeria
18,Community,615,Nigeria
19,Comprehensive,530,Nigeria
21,Maternal,358,Nigeria
26,Cottage,235,Nigeria
27,Nursing,230,Nigeria
44,Laboratory,126,Nigeria
48,Diagnostic,115,Nigeria
50,Federal,108,Nigeria
60,Clinics,92,Nigeria
66,Dental,85,Nigeria
73,Services,78,Nigeria
80,University,72,Nigeria
98,Teaching,54,Nigeria
103,Healthcare,53,Nigeria
178,Hospitals,35,Nigeria
179,Med,35,Nigeria
277,Medicare,24,Nigeria
310,Optical,22,Nigeria
318,Pharmacy,21,Nigeria
329,Healing,21,Nigeria
354,Asibitin,19,Nigeria
355,Diagnostics,19,Nigeria
363,Tuberculosis,18,Nigeria
382,Healthpost,18,Nigeria
407,Hopital,17,Nigeria
414,Prison,17,Nigeria
420,Infant,16,Nigeria
441,Marternity,16,Nigeria
444,Maternityernal,16,Nigeria
447,Consultant,16,Nigeria
476,Herbal,15,Nigeria
482,Rehabilitation,15,Nigeria
503,Clinc,14,Nigeria
513,Veterinary,14,Nigeria
529,Facilities,14,Nigeria
538,Missionary,14,Nigeria
554,Ultra,13,Nigeria
629,Surgery,12,Nigeria
642,Psychiatric,12,Nigeria
667,Meternity,11,Nigeria
696,Clinical,11,Nigeria
708,Referral,11,Nigeria
720,Despensary,11,Nigeria
738,Ultrasound,11,Nigeria
787,Facility,10,Nigeria
791,Dispensery,10,Nigeria
812,Childrens,10,Nigeria
830,Orphans,10,Nigeria
